trialType,trialID,blockID,speaker,speakerPos,leftImage,rightImage,novelImage,leftLabel,rightLabel,leftAudio,rightAudio,trialDuration,trialStartSilence,trialEndSilence,AG,AGType,AGImage,AGAudio,AGVideo,AGTime,AGgetInput,AGWidth,AGHeight
sampleTest,1,1,exp1,left,exp1,exp2,novel_1,manu,coodle,exp1_this_manu_long,exp2_look_coodle_long,5000,0,0,0,,,,,,,,
sampleTest,2,1,exp1,left,exp1,exp2,novel_2,modi,toma,exp1_look_modi_long,exp2_this_toma_long,5000,0,0,0,,,,,,,,
