trialType,trialID,blockID,leftImage,rightImage,leftSpeakerType,rightSpeakerType,novelImage,leftLabel,rightLabel,leftAudio,rightAudio,trialDuration,trialStartSilence,trialEndSilence,AG,AGType,AGImage,AGAudio,AGVideo,AGTime,AGgetInput,AGWidth,AGHeight
activeTest,1,1,exp2,exp1,reliable,unreliable,novel_1,manu,coodle,exp2_this_manu_long,exp1_look_coodle_long,5000,0,0,0,,,,,,,,
activeTest,2,1,exp2,exp1,reliable,unreliable,novel_2,modi,toma,exp2_look_modi_long,exp1_this_toma_long,5000,0,0,0,,,,,,,,
