trialType	trialID	blockID	leftImage	rightImage	leftSpeakerType	rightSpeakerType	novelImage	leftLabel	rightLabel	leftAudio	rightAudio	trialDuration	trialStartSilence	trialEndSilence	AG	AGType	AGImage	AGAudio	AGVideo	AGTime	AGgetInput	AGWidth	AGHeight
activeTest	1	1	exp1	exp2	unreliable	reliable	novel_1	manu	coodle	exp1_this_manu_long	exp2_look_coodle_long	5000	0	0	0								
activeTest	2	1	exp1	exp2	unreliable	reliable	novel_2	modi	toma	exp1_look_modi_long	exp2_this_toma_long	5000	0	0	0								
