timestamp,eyetrackerLog,sampledLook,avgPOS,curLook,response
3265345.0402999297,startContingent,,,,
3265346.6771999374,,"(-1, -1)","(-1, -1)",away,
3265347.2476000898,,"(-1, -1)","(-1, -1)",away,
3265347.751900088,,"(-1, -1)","(-1, -1)",away,
3265348.3072998933,,"(-1, -1)","(-1, -1)",away,
3265348.8360000774,,"(-1, -1)","(-1, -1)",away,
3265349.4839998893,,"(-1, -1)","(-1, -1)",away,
3265350.097700022,,"(-1, -1)","(-1, -1)",away,
3265350.945400074,,"(-1, -1)","(-1, -1)",away,
3265351.7808998004,,"(-1, -1)","(-1, -1)",away,
3265352.314400021,,"(-1, -1)","(-1, -1)",away,
3265352.837299928,,"(-1, -1)","(-1, -1)",away,
3265353.3532000147,,"(-1, -1)","(-1, -1)",away,
3265353.858300019,,"(-1, -1)","(-1, -1)",away,
3265354.3817000464,,"(-1, -1)","(-1, -1)",away,
3265354.9524000846,,"(-1, -1)","(-1, -1)",away,
3265355.5736998096,,"(-1, -1)","(-1, -1)",away,
3265357.7594999224,,"(-1, -1)","(-1, -1)",away,
3265358.525299933,,"(-1, -1)","(-1, -1)",away,
3265360.002900008,,"(-1, -1)","(-1, -1)",away,
3265361.1853998154,,"(-1, -1)","(-1, -1)",away,
3265362.2563998215,,"(-1, -1)","(-1, -1)",away,
3265365.3434999287,,"(-1, -1)","(-1, -1)",away,
3265366.860100068,,"(-1, -1)","(-1, -1)",away,
3265367.9285999388,,"(-1, -1)","(-1, -1)",away,
3265369.8632000014,,"(-1, -1)","(-1, -1)",away,
3265370.503900107,,"(-1, -1)","(-1, -1)",away,
3265371.0504998453,,"(-1, -1)","(-1, -1)",away,
3265371.6094000265,,"(-1, -1)","(-1, -1)",away,
3265373.470599763,,"(-1, -1)","(-1, -1)",away,
3265374.01410006,,"(-1, -1)","(-1, -1)",away,
3265374.526800122,,"(-1, -1)","(-1, -1)",away,
3265375.0326000154,,"(-1, -1)","(-1, -1)",away,
3265375.543899834,,"(-1, -1)","(-1, -1)",away,
3265376.041499898,,"(-1, -1)","(-1, -1)",away,
3265376.526199747,,"(-1, -1)","(-1, -1)",away,
