startDate,endDate,status,ipAddress,progress,duration,finished,recordedDate,_recordId,recipientLastName,recipientFirstName,recipientEmail,externalDataReference,locationLatitude,locationLongitude,distributionChannel,userLanguage,QID20_TEXT,QID21_TEXT,1_QID22,1_QID3_1,2_QID22,2_QID3_1,3_QID22,3_QID3_1,4_QID22,4_QID3_1,5_QID22,5_QID3_1,6_QID22,6_QID3_1,7_QID22,7_QID3_1,8_QID22,8_QID3_1,subject_id,study_id
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,LocationLatitude - Location Latitude,LocationLongitude - Location Longitude,DistributionChannel - Distribution Channel,UserLanguage - User Language,Q20 - Enter subject ID,Q21 - Enter study name,1_undsays - apple - [Field-1],1_conf_1 - How sure are you about your response for [Field-1]? - apple - How sure are you about your response for ${lm://Field/1}?,2_undsays - ball - [Field-1],2_conf_1 - How sure are you about your response for [Field-1]? - ball - How sure are you about your response for ${lm://Field/1}?,3_undsays - book - [Field-1],3_conf_1 - How sure are you about your response for [Field-1]? - book - How sure are you about your response for ${lm://Field/1}?,4_undsays - cat - [Field-1],4_conf_1 - How sure are you about your response for [Field-1]? - cat - How sure are you about your response for ${lm://Field/1}?,5_undsays - dog - [Field-1],5_conf_1 - How sure are you about your response for [Field-1]? - dog - How sure are you about your response for ${lm://Field/1}?,6_undsays - duck - [Field-1],6_conf_1 - How sure are you about your response for [Field-1]? - duck - How sure are you about your response for ${lm://Field/1}?,7_undsays - hat - [Field-1],7_conf_1 - How sure are you about your response for [Field-1]? - hat - How sure are you about your response for ${lm://Field/1}?,8_undsays - train - [Field-1],8_conf_1 - How sure are you about your response for [Field-1]? - train - How sure are you about your response for ${lm://Field/1}?,subject_id,study_id
2023-10-13 08:15:13,2023-10-13 08:36:30,IP Address,72.33.2.85,100,1277,True,2023-10-13 08:36:31,R_3XfshaaDzYFt3oZ,,,,,43.0782,-89.4075,anonymous,EN,BI107,BabyInfo,understands,61,understands AND says,100,understands AND says,83,understands,71,understands,92,understands,51,understands,100,understands,51,,
2023-10-17 09:16:36,2023-10-17 09:17:42,IP Address,72.33.2.13,100,66,True,2023-10-17 09:17:43,R_3hEI5eET3xpSXLz,,,,,43.0812,-89.3845,anonymous,EN,BI109,BabyInfo,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,,
2023-10-24 08:41:39,2023-10-24 09:08:46,IP Address,72.33.2.63,100,1627,True,2023-10-24 09:08:47,R_1IQTNhNPYRYRBMR,,,,,43.0812,-89.3845,anonymous,EN,BI110,BabyInfo,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,61,understands AND says,54,understands AND says,86,understands AND says,100,understands AND says,100,,
2023-11-08 13:33:23,2023-11-08 14:04:43,IP Address,72.33.2.205,100,1879,True,2023-11-08 14:04:43,R_1hFOXsKvbjVLksD,,,,,43.0782,-89.4075,anonymous,EN,BI112,BabyInfo,does NOT understand or say,30,understands AND says,100,understands,81,does NOT understand or say,90,understands AND says,93,does NOT understand or say,91,understands,81,understands,100,,
2023-11-16 13:40:39,2023-11-16 13:42:24,IP Address,72.33.2.96,100,105,True,2023-11-16 13:42:24,R_9FQJnq7MnPODn3z,,,,,43.0812,-89.3845,anonymous,EN,BI114,"Babyinfo ",understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,,
2023-11-21 15:31:21,2023-11-21 15:31:54,IP Address,72.33.2.49,100,32,True,2023-11-21 15:31:55,R_1f9prXg6LdvUH3T,,,,,43.0782,-89.4075,anonymous,EN,Test,Test,understands AND says,,understands AND says,,understands AND says,,understands AND says,,understands AND says,,understands AND says,,understands AND says,,understands AND says,,,
2023-11-29 09:19:17,2023-11-29 09:44:34,IP Address,72.33.2.26,100,1516,True,2023-11-29 09:44:35,R_10DHam1Uzlj2Re5,,,,,43.0782,-89.4075,anonymous,EN,BI113,Bi,understands AND says,87,understands AND says,96,understands AND says,91,understands AND says,95,understands AND says,99,understands,70,understands AND says,93,understands,64,,
2023-12-04 08:33:22,2023-12-04 09:20:56,IP Address,72.33.2.73,100,2853,True,2023-12-04 09:20:56,R_3JatjKBGJpVnP10,,,,,43.0782,-89.4075,anonymous,EN,BI116,BabyInfo,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,75,understands AND says,100,does NOT understand or say,100,understands,100,understands AND says,100,,
2023-12-09 08:35:09,2023-12-09 08:36:25,IP Address,72.33.2.40,100,76,True,2023-12-09 08:36:26,R_WByvXXybJTkZhND,,,,,43.0782,-89.4075,anonymous,EN,BI117,Bi,understands AND says,100,understands AND says,100,understands AND says,80,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,81,,
2023-12-20 07:44:48,2023-12-22 14:16:18,IP Address,72.33.2.233,100,196290,True,2023-12-22 14:16:19,R_7K2Voy2gaeEoxdy,,,,,43.0812,-89.3845,anonymous,EN,BI118,BabyInfo,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,,
2024-01-15 11:25:31,2024-01-15 11:47:00,IP Address,72.33.2.70,100,1289,True,2024-01-15 11:47:01,R_50Nb0QlBNf9tvix,,,,,43.0725,-89.4491,anonymous,EN,BI120,BabyInfo,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,,
2024-01-19 08:41:52,2024-01-19 09:07:44,IP Address,72.33.2.135,100,1552,True,2024-01-19 09:07:45,R_5j6ePuz3f7Y2CWo,,,,,43.0725,-89.4491,anonymous,EN,BI123,"BabyInfo ",understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,90,,
2024-01-22 08:15:05,2024-01-22 08:36:26,IP Address,72.33.2.249,100,1280,True,2024-01-22 08:36:27,R_62z2rUcY1Ow9pZb,,,,,43.0725,-89.4491,anonymous,EN,BI121,"BabyInfo ",understands AND says,96,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,91,understands AND says,92,understands AND says,87,,
2024-01-22 14:47:31,2024-01-22 15:05:40,IP Address,72.33.2.249,100,1089,True,2024-01-22 15:05:41,R_5WzPbkoqYBtQva9,,,,,43.0725,-89.4491,anonymous,EN,BI122,Babyinfo,understands AND says,100,understands AND says,100,understands,91,understands,92,understands,100,understands AND says,100,understands AND says,100,does NOT understand or say,30,,
2024-01-25 07:34:31,2024-01-25 08:02:41,IP Address,72.33.2.11,100,1689,True,2024-01-25 08:02:41,R_6nAVraLOS4fMS4F,,,,,43.0725,-89.4491,anonymous,EN,BI127,"BabyInfo ",understands,100,understands,100,understands,100,understands,100,understands,100,understands,80,understands,80,understands,80,,
2024-01-26 13:33:13,2024-01-26 13:35:55,IP Address,72.33.2.139,100,162,True,2024-01-26 13:35:56,R_3dsG3sHT8eUe9x3,,,,,43.0725,-89.4491,anonymous,EN,BI124,Bi,understands AND says,100,understands AND says,100,understands AND says,94,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,45,,
2024-01-29 08:11:30,2024-01-29 08:33:39,IP Address,72.33.2.74,100,1329,True,2024-01-29 08:33:40,R_3RmISmTMMiSsn3H,,,,,43.0725,-89.4491,anonymous,EN,BI125,"BabyInfo ",understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,71,understands AND says,100,understands AND says,70,,
2024-01-30 08:38:50,2024-01-30 08:59:22,IP Address,72.33.2.96,100,1231,True,2024-01-30 08:59:22,R_5g6ik9BRsxtRsvg,,,,,43.0725,-89.4491,anonymous,EN,BI126,"BabyInfo ",understands AND says,72,understands AND says,90,understands AND says,75,understands,50,understands,58,understands AND says,73,understands AND says,87,understands,75,,
2024-02-01 13:31:40,2024-02-01 14:01:17,IP Address,72.33.2.77,100,1776,True,2024-02-01 14:01:18,R_6PQiVr7pTvtF2U1,,,,,43.0812,-89.3845,anonymous,EN,BI129,"BabyInfo ",understands,96,understands AND says,86,understands,97,understands,69,understands AND says,97,understands,52,understands,97,understands,82,,
2024-02-09 14:51:29,2024-02-09 15:12:01,IP Address,72.33.2.46,100,1231,True,2024-02-09 15:12:01,R_6n7pzz1qOcm9jCr,,,,,43.0782,-89.4075,anonymous,EN,BI131,BabyInfo,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,61,understands,83,understands AND says,81,understands,92,does NOT understand or say,,,
2024-02-14 10:12:23,2024-02-14 10:43:10,IP Address,72.33.2.39,100,1847,True,2024-02-14 10:43:11,R_7A0XIPJGctKgwlb,,,,,43.0782,-89.4075,anonymous,EN,BI130,"BabyInfo ",understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,92,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,,
2024-02-14 12:03:47,2024-02-14 12:14:00,IP Address,72.33.2.39,100,612,True,2024-02-14 12:14:01,R_1Rz0x56I8tQuFmZ,,,,,43.0782,-89.4075,anonymous,EN,Prac_1440,"BabyInfo ",understands,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,does NOT understand or say,100,,
2024-02-15 13:08:55,2024-02-15 13:34:44,IP Address,72.33.2.39,100,1548,True,2024-02-15 13:34:45,R_6NWZOD9Show6Pl3,,,,,43.0782,-89.4075,anonymous,EN,BI134,"BabyInfo ",understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,,
2024-02-16 07:59:04,2024-02-16 08:09:15,IP Address,72.33.2.29,100,611,True,2024-02-16 08:09:16,R_3vAvW2UPga1I46d,,,,,43.0782,-89.4075,anonymous,EN,BI133,"BabyInfo ",understands AND says,97,understands AND says,100,understands AND says,99,understands AND says,97,understands AND says,88,understands AND says,87,understands AND says,97,understands AND says,93,,
2024-02-20 09:18:38,2024-02-20 09:19:44,IP Address,72.33.2.103,100,65,True,2024-02-20 09:19:45,R_7ZDoqbvirDi7v0Z,,,,,43.0782,-89.4075,anonymous,EN,BI135,"BabyInfo ",understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,,
2024-03-09 09:12:35,2024-03-09 09:14:23,IP Address,72.33.2.20,100,107,True,2024-03-09 09:14:23,R_517wWMZ08Tq717m,,,,,43.0812,-89.3845,anonymous,EN,BI137,Bi,understands,90,understands AND says,100,understands AND says,100,understands AND says,100,understands,90,understands,80,understands AND says,100,understands,50,,
2024-03-09 10:03:29,2024-03-09 10:05:57,IP Address,72.33.2.20,100,148,True,2024-03-09 10:05:57,R_2k0S1oUn9odwOho,,,,,43.0812,-89.3845,anonymous,EN,Prac,,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,does NOT understand or say,9,understands AND says,100,understands AND says,100,,
2024-03-29 14:47:46,2024-03-29 14:48:59,IP Address,72.33.2.226,100,72,True,2024-03-29 14:48:59,R_7gSpdPG24eT92Ln,,,,,43.0812,-89.3845,anonymous,EN,B138_test,"BabyInfo ",,,,,,,,,,,,,,,,,,
2024-04-11 08:46:57,2024-04-11 09:13:34,IP Address,72.33.2.237,100,1596,True,2024-04-11 09:13:35,R_6jUHLdDNzkf55U7,,,,,43.0812,-89.3845,anonymous,EN,BI140,"BabyInfo ",understands,50,understands,70,understands,62,understands,72,understands AND says,93,does NOT understand or say,73,does NOT understand or say,59,does NOT understand or say,59,,
2024-04-12 13:46:33,2024-04-12 14:13:40,IP Address,72.33.2.99,100,1627,True,2024-04-12 14:13:41,R_3LgdIZwd8elkXh7,,,,,43.0812,-89.3845,anonymous,EN,Prac_1457,"BabyInfo ",understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands,100,understands,100,,
2024-04-12 14:51:00,2024-04-12 14:58:01,IP Address,72.33.2.99,40,421,False,2024-04-19 14:58:02,R_2Ec5sDv2l0RmyI2,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,
2024-04-25 10:39:14,2024-04-25 10:50:17,IP Address,72.33.2.124,100,662,True,2024-04-25 10:50:17,R_2iPuHawQ5u5vMux,,,,,43.0812,-89.3845,anonymous,EN,BI142,"BabyInfo ",understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,90,understands AND says,100,understands AND says,80,understands AND says,100,understands AND says,90,,
2024-05-03 13:36:47,2024-05-03 14:11:07,IP Address,72.33.2.105,100,2060,True,2024-05-03 14:11:08,R_3nqm3I6WVEETMui,,,,,43.0812,-89.3845,anonymous,EN,BI143,"BabyInfo ",understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands,85,understands AND says,100,understands,100,,
2024-05-16 08:48:07,2024-05-16 09:03:18,IP Address,72.33.2.53,100,911,True,2024-05-16 09:03:19,R_5Mc9X1tePanVU3X,,,,,43.0812,-89.3845,anonymous,EN,BI145,"BabyInfo ",understands,50,,90,understands AND says,91,does NOT understand or say,50,understands,91,understands AND says,91,does NOT understand or say,91,understands AND says,90,,
2024-05-20 08:12:05,2024-05-20 08:25:55,IP Address,72.33.2.39,100,829,True,2024-05-20 08:25:55,R_1qR4opPtUDNEs6J,,,,,43.0812,-89.3845,anonymous,EN,BI149,"BabyInfo ",understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,does NOT understand or say,50,,
2024-05-20 09:56:40,2024-05-20 10:28:16,IP Address,72.33.2.39,100,1895,True,2024-05-20 10:28:17,R_5y2XnlvfsVsaYwa,,,,,43.0812,-89.3845,anonymous,EN,BI147,"BabyInfo ",understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,,100,understands AND says,100,understands AND says,100,understands,100,,
