trialType,trialID,blockID,speaker,speakerPos,leftImage,rightImage,leftAudio,rightAudio,trialDuration,trialStartSilence,trialEndSilence,AG,AGType,AGImage,AGAudio,AGVideo,AGTime,AGgetInput,AGWidth,AGHeight
AG,1,,,,,,,,,,,1,movie,,spinningballs_5,spinningballs_5,5000,,,
activeTraining,1,1,exp1,left,balloons_1,waterfall_1,galaxies,clouds,5000,0,0,0,,,,,,,,
